Name,Description ,Unit,DataType,Attributes
airflow.scheduler.tasks.starving,,,Gauge,
airflow.scheduler.orphaned_tasks.cleared,,,Sum,
airflow.scheduler.critical_section_query_duration,,,Summary,
airflow.executor.queued_tasks,,,Gauge,
airflow.pool.open_slots.default_pool,,,Gauge,
airflow.pool.running_slots.default_pool,,,Gauge,
airflow.dag_processing.total_parse_time,,,Gauge,
airflow.dagbag_size,,,Gauge,
airflow.dag_processing.import_errors,,,Gauge,
airflow.scheduler.tasks.executable,,,Gauge,
airflow.executor.running_tasks,,,Gauge,
airflow.executor.open_slots,,,Gauge,
airflow.scheduler.orphaned_tasks.adopted,,,Sum,
airflow.scheduler_heartbeat,,,Sum,
airflow.scheduler.critical_section_duration,,,Summary,
airflow.scheduler.tasks.running,,,Gauge,
airflow.pool.queued_slots.default_pool,,,Gauge,
airflow.schedulerjob_start,,,Sum,
