Name,Description ,Unit,DataType,Attributes
consul_runtime_free_count,consul_runtime_free_count,,Gauge,
consul_leader_replication_acl_tokens_index,Tracks the index of ACL tokens in the primary that the secondary has successfully replicated,,Gauge,
consul_prepared_query_apply,Measures the time it takes to apply a prepared query update.,,Summary,
consul_rpc_accept_conn,Increments when a server accepts an RPC connection.,,Sum,
consul_memberlist_gossip,consul_memberlist_gossip,,Summary,
consul_fsm_federation_state_dc1,consul_fsm_federation_state_dc1,,Summary,STRING(upsert)
consul_acl_token_clone,,,Summary,
consul_fsm_ca_leaf,Measures the time it takes to apply an operation while signing a leaf certificate.,,Summary,STRING(increment-index)
consul_leader_replication_namespaces_index,Tracks the index of federation states in the primary that the secondary has successfully replicated,,Gauge,
consul_fsm_register,Measures the time it takes to apply a catalog register operation to the FSM.,,Summary,
consul_kvs_apply,Measures the time it takes to complete an update to the KV store.,,Summary,
consul_leader_replication_acl_policies_status,Tracks the current health of ACL policy replication on the leader,,Gauge,
consul_raft_last_index,Represents the raft last index.,,Gauge,
consul_fsm_tombstone,Measures the time it takes to apply the given tombstone operation to the FSM.,,Summary,
consul_raft_boltdb_txstats_spillTime,consul_raft_boltdb_txstats_spillTime,,Summary,
consul_client_rpc_failed,Increments whenever a Consul agent in client mode makes an RPC request to a Consul server and fails.,,Sum,
consul_client_rpc_exceeded,Increments whenever a Consul agent in client mode makes an RPC request to a Consul server gets rate limited by that agent's limits configuration.,,Sum,
consul_fsm_prepared_query,Measures the time it takes to apply the given prepared query update operation to the FSM.,,Summary,
process_virtual_memory_max_bytes,Maximum amount of virtual memory available in bytes.,,Gauge,
consul_rpc_request_error,Increments when a server returns an error from an RPC request.,,Sum,
consul_mesh_active_root_ca_expiry,Seconds until the service mesh root certificate expires. Updated every hour,,Gauge,
consul_federation_state_apply,,,Summary,
go_threads,Number of OS threads created.,,Gauge,
process_open_fds,Number of open file descriptors.,,Gauge,
up,The scraping was successful,,Gauge,
consul_consul_cache_bypass,Counts how many times a request bypassed the cache because no cache-key was provided.,,Sum,
consul_client_rpc_error_catalog_service_nodes,Increments whenever a Consul agent receives an RPC error for a request to list nodes offering a service.,,Sum,
consul_raft_rpc_installSnapshot,Measures the time it takes the raft leader to install a snapshot on a follower that is catching up after being down or has just joined the cluster.,,Summary,
consul_acl_bindingrule_delete,,,Summary,
