Name,Description,Unit,DataType,Attributes
go_memstats_heap_idle_bytes,Number of heap bytes waiting to be used.,,Gauge,
go_memstats_mcache_inuse_bytes,Number of bytes in use by mcache structures.,,Gauge,
go_memstats_next_gc_bytes,Number of heap bytes when next garbage collection will take place.,,Gauge,
go_memstats_alloc_bytes,Number of bytes allocated and still in use.,,Gauge,
go_memstats_buck_hash_sys_bytes,Number of bytes used by the profiling bucket hash table.,,Gauge,
go_memstats_stack_inuse_bytes,Number of bytes in use by the stack allocator.,,Gauge,
go_memstats_mspan_inuse_bytes,Number of bytes in use by mspan structures.,,Gauge,
go_memstats_alloc_bytes_total,"Total number of bytes allocated, even if freed.",,Sum,
go_memstats_gc_sys_bytes,Number of bytes used for garbage collection system metadata.,,Gauge,
go_memstats_heap_alloc_bytes,Number of heap bytes allocated and still in use.,,Gauge,
go_memstats_heap_sys_bytes,Number of heap bytes obtained from system.,,Gauge,
go_memstats_mallocs_total,Total number of mallocs.,,Sum,
go_memstats_other_sys_bytes,Number of bytes used for other system allocations.,,Gauge,
go_memstats_stack_sys_bytes,Number of bytes obtained from system for stack allocator.,,Gauge,
go_memstats_last_gc_time_seconds,Number of seconds since 1970 of last garbage collection.,,Gauge,
go_memstats_heap_objects,Number of allocated objects.,,Gauge,
go_memstats_lookups_total,Total number of pointer lookups.,,Sum,
go_memstats_sys_bytes,Number of bytes obtained from system.,,Gauge,
go_memstats_frees_total,Total number of frees.,,Sum,
go_memstats_heap_inuse_bytes,Number of heap bytes that are in use.,,Gauge,
go_memstats_heap_released_bytes,Number of heap bytes released to OS.,,Gauge,
go_memstats_mcache_sys_bytes,Number of bytes used for mcache structures obtained from system.,,Gauge,
go_memstats_mspan_sys_bytes,Number of bytes used for mspan structures obtained from system.,,Gauge,
coredns_health_request_failures_total,The number of times the health check failed.,,Sum,
coredns_local_localhost_requests_total,Counter of localhost.<domain> requests.,,Sum,
coredns_panics_total,A metrics that counts the number of panics.,,Sum,
coredns_health_request_duration_seconds,Histogram of the time (in seconds) each request took.,,Histogram,
coredns_build_info,"A metric with a constant '1' value labeled by version, revision, and goversion from which CoreDNS was built.",,Gauge,STRING(go1.19.1);STRING(596a9f9);STRING(1.10.0)
coredns_reload_failed_total,Counter of the number of failed reload attempts.,,Sum,
coredns_plugin_enabled,A metric that indicates whether a plugin is enabled on per server and zone basis.,,Gauge,STRING(prometheus);server: STRING(dns://:53);STRING(.)
coredns_forward_max_concurrent_rejects_total,Counter of the number of queries rejected because the concurrent queries were at maximum.,,Sum,
coredns_hosts_reload_timestamp_seconds,The timestamp of the last reload of hosts file.,,Gauge,
coredns_forward_healthcheck_broken_total,Counter of the number of complete failures of the healthchecks.,,Sum,
process_open_fds,Number of open file descriptors.,,Gauge,
process_resident_memory_bytes,Resident memory size in bytes.,,Gauge,
process_max_fds,Maximum number of open file descriptors.,,Gauge,
process_start_time_seconds,Start time of the process since unix epoch in seconds.,,Gauge,
process_cpu_seconds_total,Total user and system CPU time spent in seconds.,,Sum,
process_virtual_memory_bytes,Virtual memory size in bytes.,,Gauge,
process_virtual_memory_max_bytes,Maximum amount of virtual memory available in bytes.,,Gauge,
scrape_duration_seconds,Duration of the scrape,seconds,Gauge,
scrape_samples_post_metric_relabeling,The number of samples remaining after metric relabeling was applied,,Gauge,
scrape_series_added,The approximate number of new series in this scrape,,Gauge,
go_goroutines,Number of goroutines that currently exist.,,Gauge,
up,The scraping was successful,,Gauge,
go_threads,Number of OS threads created.,,Gauge,
go_info,Information about the Go environment.,,Gauge,STRING(go1.19.1)
go_gc_duration_seconds,A summary of the pause duration of garbage collection cycles.,,Summary,
