Name,Description,Unit,DataType,Attributes
jvm.memory.heap.max,current heap usage,by,Gauge,
jvm.memory.pool.init,current memory pool usage,by,Gauge,STRING(Metaspace);STRING(Compressed Class Space);STRING(PS Old Gen);STRING(PS Survivor Space);STRING(PS Eden Space);STRING(Code Cache)
jvm.memory.heap.init,current heap usage,by,Gauge,
jvm.memory.heap.committed,current heap usage,by,Gauge,
jvm.memory.nonheap.used,current non-heap usage,by,Gauge,
jvm.memory.pool.committed,current memory pool usage,by,Gauge,STRING(Metaspace);STRING(Compressed Class Space);STRING(PS Old Gen);STRING(PS Survivor Space);STRING(PS Eden Space);STRING(Code Cache)
jvm.memory.pool.used,current memory pool usage,by,Gauge,STRING(Metaspace);STRING(Compressed Class Space);STRING(PS Old Gen);STRING(PS Survivor Space);STRING(PS Eden Space);STRING(Code Cache)
jvm.memory.pool.max,current memory pool usage,by,Gauge,STRING(Metaspace);STRING(Compressed Class Space);STRING(PS Old Gen);STRING(PS Survivor Space);STRING(PS Eden Space);STRING(Code Cache)
jvm.memory.heap.used,current heap usage,by,Gauge,
jvm.memory.nonheap.max,current non-heap usage,by,Gauge,
jvm.memory.nonheap.init,current non-heap usage,by,Gauge,
jvm.memory.nonheap.committed,current non-heap usage,by,Gauge,
hadoop.name_node.capacity.limit,The total capacity allotted to data nodes reporting to the name node.,by,Sum,STRING(9b5116f4546f)
hadoop.name_node.file.count,The total number of files being tracked by the name node.,{files},Sum,STRING(9b5116f4546f)
hadoop.name_node.volume.failed,The number of failed volumes reported to the name node.,{volumes},Sum,STRING(9b5116f4546f)
hadoop.name_node.block.count,The total number of blocks on the name node.,{blocks},Sum,STRING(9b5116f4546f)
hadoop.name_node.block.corrupt,The number of blocks reported as corrupt to the name node.,{blocks},Sum,STRING(9b5116f4546f)
hadoop.name_node.capacity.usage,The current used capacity across all data nodes reporting to the name node.,by,Sum,STRING(9b5116f4546f)
hadoop.name_node.data_node.count,The number of data nodes reporting to the name node.,{nodes},Sum,STRING(9b5116f4546f);STRING(dead);STRING(9b5116f4546f);STRING(live)
hadoop.name_node.block.missing,The number of blocks reported as missing to the name node.,{blocks},Sum,STRING(9b5116f4546f)
hadoop.name_node.file.load,The current number of concurrent file accesses.,{operations},Sum,STRING(9b5116f4546f)
jvm.gc.collections.elapsed,the approximate accumulated collection elapsed time in milliseconds,ms,Sum,STRING(PS Scavenge);STRING(PS MarkSweep)
jvm.gc.collections.count,total number of collections that have occurred,1,Sum,STRING(PS Scavenge);STRING(PS MarkSweep)
jvm.classes.loaded,number of loaded classes,1,Gauge,
jvm.threads.count,number of threads,1,Gauge,
