Name,Description,Unit,DataType,Attributes
hbase.region_server.gc.time,Time spent in garbage collection.,ms,Sum,STRING(e5d75ba09d90)
hbase.region_server.gc.young_gen.time,Time spent in garbage collection of the young generation.,ms,Sum,STRING(e5d75ba09d90)
hbase.region_server.gc.old_gen.time,Time spent in garbage collection of the old generation.,ms,Sum,STRING(e5d75ba09d90)
hbase.region_server.queue.request.count,The number of currently enqueued requests.,{requests},Sum,STRING(e5d75ba09d90);STRING(user);STRING(e5d75ba09d90);STRING(replication);STRING(e5d75ba09d90);STRING(priority)
hbase.region_server.open_connection.count,The number of open connections at the RPC layer.,{connections},Sum,STRING(e5d75ba09d90)
hbase.region_server.authentication.count,Number of client connection authentication failures/successes.,{authentication requests},Sum,STRING(e5d75ba09d90);STRING(failures);STRING(e5d75ba09d90);STRING(successes)
hbase.master.region_server.count,The number of region servers.,{servers},Sum,STRING(dead);STRING(live)
hbase.region_server.active_handler.count,The number of RPC handlers actively servicing requests.,{handlers},Sum,STRING(e5d75ba09d90)
hbase.region_server.operation.increment.latency.min,Increment operation minimum latency.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.operation.increment.latency.max,Increment operation max latency.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.operation.get.latency.min,Get operation minimum latency.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.operation.delete.latency.min,Delete operation minimum latency.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.operation.replay.latency.min,Replay operation minimum latency.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.disk.store_file.count,The number of store files on disk currently managed by the region server.,{files},Sum,STRING(e5d75ba09d90)
hbase.region_server.blocked_update.time,Amount of time updates have been blocked so the memstore can be flushed.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.write_ahead_log.count,The number of write ahead logs not yet archived.,{logs},Sum,STRING(e5d75ba09d90)
hbase.region_server.block_cache.operation.count,Number of block cache hits/misses.,{operations},Gauge,STRING(e5d75ba09d90);STRING(miss);STRING(e5d75ba09d90);STRING(hit)
hbase.region_server.region.count,The number of regions hosted by the region server.,{regions},Sum,STRING(e5d75ba09d90)
hbase.region_server.operation.delete.latency.max,Delete operation max latency.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.files.local,Percent of store file data that can be read from the local.,%,Gauge,STRING(e5d75ba09d90)
hbase.region_server.operations.slow,Number of operations that took over 1000ms to complete.,{operations},Sum,STRING(get);STRING(e5d75ba09d90);STRING(append);STRING(e5d75ba09d90);STRING(delete);STRING(e5d75ba09d90);STRING(put);STRING(e5d75ba09d90);STRING(increment);STRING(e5d75ba09d90)
hbase.region_server.operation.append.latency.max,Append operation max latency.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.operation.replay.latency.max,Replay operation max latency.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.request.count,The number of requests received.,{requests},Sum,STRING(e5d75ba09d90);STRING(read);STRING(e5d75ba09d90);STRING(write)
hbase.region_server.disk.store_file.size,Aggregate size of the store files on disk.,By,Sum,STRING(e5d75ba09d90)
hbase.region_server.operation.append.latency.min,Append operation minimum latency.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.operation.get.latency.max,Get operation max latency.,ms,Gauge,STRING(e5d75ba09d90)
hbase.region_server.queue.length,The number of RPC handlers actively servicing requests.,{handlers},Sum,STRING(e5d75ba09d90);STRING(flush);STRING(e5d75ba09d90);STRING(compaction)
jvm.memory.nonheap.used,current non-heap usage,by,Gauge,
jvm.memory.heap.committed,current heap usage,by,Gauge,
jvm.memory.nonheap.init,current non-heap usage,by,Gauge,
jvm.memory.heap.used,current heap usage,by,Gauge,
jvm.memory.heap.init,current heap usage,by,Gauge,
jvm.memory.nonheap.committed,current non-heap usage,by,Gauge,
jvm.memory.heap.max,current heap usage,by,Gauge,
jvm.memory.nonheap.max,current non-heap usage,by,Gauge,
jvm.memory.pool.init,current memory pool usage,by,Gauge,STRING(Par Eden Space);STRING(Metaspace);STRING(CMS Old Gen);STRING(Par Survivor Space);STRING(Code Cache);STRING(Compressed Class Space)
jvm.memory.pool.committed,current memory pool usage,by,Gauge,STRING(Par Eden Space);STRING(Metaspace);STRING(CMS Old Gen);STRING(Par Survivor Space);STRING(Code Cache);STRING(Compressed Class Space)
jvm.memory.pool.used,current memory pool usage,by,Gauge,STRING(Par Eden Space);STRING(Metaspace);STRING(CMS Old Gen);STRING(Par Survivor Space);STRING(Code Cache);STRING(Compressed Class Space)
jvm.memory.pool.max,current memory pool usage,by,Gauge,STRING(Par Eden Space);STRING(Metaspace);STRING(CMS Old Gen);STRING(Par Survivor Space);STRING(Code Cache);STRING(Compressed Class Space)
jvm.gc.collections.count,total number of collections that have occurred,1,Sum,STRING(ParNew);STRING(ConcurrentMarkSweep)
jvm.gc.collections.elapsed,the approximate accumulated collection elapsed time in milliseconds,ms,Sum,STRING(ParNew);STRING(ConcurrentMarkSweep);service.name: STRING(unknown_service:java);STRING(java);STRING(opentelemetry);STRING(1.14.0)
jvm.classes.loaded,number of loaded classes,1,Gauge,
jvm.threads.count,number of threads,1,Gauge,
