Name,Description,Unit,DataType,Attributes
system.cpu.load_average.15m,Average CPU Load over 15 minutes.,1,Gauge,
system.cpu.load_average.1m,Average CPU Load over 1 minute.,1,Gauge,
system.cpu.load_average.5m,Average CPU Load over 5 minutes.,1,Gauge,
system.disk.io,Disk bytes transferred.,By,Sum,STRING(loop0);STRING(read);STRING(loop0);STRING(write);STRING(vda);STRING(read);STRING(vda);STRING(write);STRING(vda1);STRING(read);STRING(vda1);STRING(write)
system.disk.io_time,"Time disk spent activated. On Windows, this is calculated as the inverse of disk idle time.",s,Sum,STRING(loop0);STRING(vda);STRING(vda1)
system.disk.merged,The number of disk reads merged into single physical disk access operations.,{operations},Sum,STRING(loop0);STRING(read);STRING(loop0);STRING(write);STRING(vda);STRING(read);STRING(vda);STRING(write);STRING(vda1);STRING(read);STRING(vda1);STRING(write)
system.disk.operation_time,Time spent in disk operations.,s,Sum,STRING(loop0);STRING(read);STRING(loop0);STRING(write);STRING(vda);STRING(read);STRING(vda);STRING(write);STRING(vda1);STRING(read);STRING(vda1);STRING(write)
system.disk.operations,Disk operations count.,{operations},Sum,STRING(loop0);STRING(read);STRING(loop0);STRING(write);STRING(vda);STRING(read);STRING(vda);STRING(write);STRING(vda1);STRING(read);STRING(vda1);STRING(write)
system.disk.pending_operations,The queue size of pending I/O operations.,{operations},Sum,STRING(vda1);STRING(loop0);STRING(vda)
system.disk.weighted_io_time,Time disk spent activated multiplied by the queue length.,s,Sum,STRING(vda1);STRING(loop0);STRING(vda);STRING(docker-desktop);STRING(linux)
system.processes.count,Total number of processes in each state.,{processes},Sum,STRING(unknown);STRING(sleeping);STRING(blocked);STRING(running)
system.processes.created,Total number of created processes.,{processes},Sum,
