Name,Description ,Unit,DataType,Attributes
ibmmq_qmgr_published_to_subscribers_message_total,Published to subscribers - message count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_persistent_message_mqput_total,Persistent message MQPUT count,,Sum,STRING(ibmmqleader)
go_memstats_lookups_total,Total number of pointer lookups.,,Sum,
promhttp_metric_handler_requests_total,Total number of scrapes by HTTP status code.,,Sum,STRING(200);STRING(500);STRING(503)
ibmmq_qmgr_mqstat_total,MQSTAT count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_topic_mqput_mqput1_total,Topic MQPUT/MQPUT1 interval total,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_failed_mqsubrq_total,Failed MQSUBRQ count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_topic_put_bytes_total,Interval total topic bytes put,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_failed_mqclose_total,Failed MQCLOSE count,,Sum,STRING(ibmmqleader)
scrape_samples_scraped,The number of samples the target exposed,,Gauge,
ibmmq_qmgr_mqcb_total,MQCB count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_non_persistent_message_destructive_get_total,Non-persistent message destructive get - count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_failed_mqcb_total,Failed MQCB count,,Sum,STRING(ibmmqleader)
go_memstats_heap_alloc_bytes,Number of heap bytes allocated and still in use.,,Gauge,
ibmmq_qmgr_errors_file_system_in_use_bytes,MQ errors file system - bytes in use,,Gauge,STRING(ibmmqleader)
go_memstats_heap_idle_bytes,Number of heap bytes waiting to be used.,,Gauge,
ibmmq_qmgr_non_persistent_message_browse_bytes_total,Non-persistent message browse - byte count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_non_durable_subscription_create_total,Create non-durable subscription count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_failed_subscription_delete_total,Subscription delete failure count,,Sum,STRING(ibmmqleader)
go_memstats_last_gc_time_seconds,Number of seconds since 1970 of last garbage collection.,,Gauge,
scrape_samples_post_metric_relabeling,The number of samples remaining after metric relabeling was applied,,Gauge,
ibmmq_qmgr_queue_manager_file_system_free_space_percentage,Queue Manager file system - free space,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_log_file_system_max_bytes,Log file system - bytes max,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_log_write_latency_seconds,Log - write latency,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_log_file_system_in_use_bytes,Log file system - bytes in use,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_user_cpu_time_percentage,User CPU time percentage,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_errors_file_system_free_space_percentage,MQ errors file system - free space,,Gauge,STRING(ibmmqleader)
scrape_duration_seconds,Duration of the scrape,seconds,Gauge,
process_cpu_seconds_total,Total user and system CPU time spent in seconds.,,Sum,
ibmmq_qmgr_trace_file_system_free_space_percentage,MQ trace file system - free space,,Gauge,STRING(ibmmqleader)
go_goroutines,Number of goroutines that currently exist.,,Gauge,
ibmmq_qmgr_non_durable_subscription_delete_total,Delete non-durable subscription count,,Sum,STRING(ibmmqleader)
go_info,Information about the Go environment.,,Gauge,STRING(go1.16.7)
ibmmq_qmgr_durable_subscription_create_total,Create durable subscription count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_rollback_total,Rollback count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_durable_subscription_delete_total,Delete durable subscription count,,Sum,STRING(ibmmqleader)
go_memstats_frees_total,Total number of frees.,,Sum,
go_threads,Number of OS threads created.,,Gauge,
go_memstats_heap_released_bytes,Number of heap bytes released to OS.,,Gauge,
go_memstats_alloc_bytes_total,"Total number of bytes allocated, even if freed.",,Sum,
ibmmq_qmgr_trace_file_system_in_use_bytes,MQ trace file system - bytes in use,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_ram_free_percentage,RAM free percentage,,Gauge,STRING(ibmmqleader)
go_memstats_mspan_inuse_bytes,Number of bytes in use by mspan structures.,,Gauge,
ibmmq_qmgr_cpu_load_fifteen_minute_average_percentage,CPU load - fifteen minute average,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_queue_manager_file_system_in_use_bytes,Queue Manager file system - bytes in use,,Gauge,STRING(ibmmqleader)
go_memstats_stack_inuse_bytes,Number of bytes in use by the stack allocator.,,Gauge,
ibmmq_qmgr_mqset_total,MQSET count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_persistent_message_get_bytes_total,Got persistent messages - byte count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_purged_queue_total,Purged queue count,,Sum,STRING(ibmmqleader)
process_resident_memory_bytes,Resident memory size in bytes.,,Gauge,
ibmmq_qmgr_durable_subscription_resume_total,Resume durable subscription count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_failed_mqinq_total,Failed MQINQ count,,Sum,STRING(ibmmqleader)
process_max_fds,Maximum number of open file descriptors.,,Gauge,
go_memstats_stack_sys_bytes,Number of bytes obtained from system for stack allocator.,,Gauge,
process_virtual_memory_max_bytes,Maximum amount of virtual memory available in bytes.,,Gauge,
go_memstats_mallocs_total,Total number of mallocs.,,Sum,
ibmmq_qmgr_failed_topic_mqput_mqput1_total,Failed topic MQPUT/MQPUT1 count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_log_primary_space_in_use_percentage,Log - current primary space in use,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_log_workload_primary_space_utilization_percentage,Log - workload primary space utilization,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_commit_total,Commit count,,Sum,STRING(ibmmqleader)
go_memstats_heap_inuse_bytes,Number of heap bytes that are in use.,,Gauge,
ibmmq_qmgr_user_cpu_time_estimate_for_queue_manager_percentage,User CPU time - percentage estimate for queue manager,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_non_persistent_message_mqput_total,Non-persistent message MQPUT count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_non_persistent_topic_mqput_mqput1_total,Non-persistent - topic MQPUT/MQPUT1 count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_log_write_size_bytes,Log - write size,,Gauge,STRING(ibmmqleader)
go_memstats_alloc_bytes,Number of bytes allocated and still in use.,,Gauge,
ibmmq_qmgr_persistent_topic_mqput_mqput1_total,Persistent - topic MQPUT/MQPUT1 count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_failed_mqput1_total,Failed MQPUT1 count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_mqput_mqput1_total,Interval total MQPUT/MQPUT1 count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_failed_browse_total,Failed browse count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_mqput_mqput1_bytes_total,Interval total MQPUT/MQPUT1 byte count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_cpu_load_five_minute_average_percentage,CPU load - five minute average,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_fdc_files,MQ FDC file count,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_persistent_message_mqput1_total,Persistent message MQPUT1 count,,Sum,STRING(ibmmqleader)
go_memstats_next_gc_bytes,Number of heap bytes when next garbage collection will take place.,,Gauge,
ibmmq_qmgr_persistent_message_browse_total,Persistent message browse - count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_failed_mqopen_total,Failed MQOPEN count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_mqconn_mqconnx_total,MQCONN/MQCONNX count,,Sum,STRING(ibmmqleader)
promhttp_metric_handler_requests_in_flight,Current number of scrapes being served.,,Gauge,
ibmmq_qmgr_persistent_message_destructive_get_total,Persistent message destructive get - count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_mqsubrq_total,MQSUBRQ count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_log_in_use_bytes,Log - bytes in use,,Gauge,STRING(ibmmqleader)
go_memstats_sys_bytes,Number of bytes obtained from system.,,Gauge,
go_memstats_gc_cpu_fraction,The fraction of this program's available CPU time used by the GC since the program started.,,Gauge,
ibmmq_qmgr_failed_mqget_total,Failed MQGET - count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_system_cpu_time_percentage,System CPU time percentage,,Gauge,STRING(ibmmqleader)
process_virtual_memory_bytes,Virtual memory size in bytes.,,Gauge,
go_gc_duration_seconds,A summary of the pause duration of garbage collection cycles.,,Summary,
go_memstats_mcache_sys_bytes,Number of bytes used for mcache structures obtained from system.,,Gauge,
ibmmq_qmgr_failed_mqset_total,Failed MQSET count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_mqinq_total,MQINQ count,,Sum,STRING(ibmmqleader)
go_memstats_other_sys_bytes,Number of bytes used for other system allocations.,,Gauge,
ibmmq_qmgr_ram_usage_estimate_for_queue_manager_bytes,RAM total bytes - estimate for queue manager,,Gauge,STRING(ibmmqleader)
ibmmq_qmgr_mqopen_total,MQOPEN count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_non_persistent_message_put_bytes_total,Put non-persistent messages - byte count,,Sum,STRING(ibmmqleader)
ibmmq_qmgr_mqclose_total,MQCLOSE count,,Sum,STRING(ibmmqleader)
process_open_fds,Number of open file descriptors.,,Gauge,
