Name,Description,Unit,DataType,Attributes
memcached.bytes,Current number of bytes used by this server to store items.,By,Gauge,
memcached.commands,Commands executed.,{commands},Sum,STRING(get);STRING(flush);STRING(touch);STRING(set)
memcached.connections.current,The current number of open connections.,{connections},Sum,
memcached.connections.total,Total number of connections opened since the server started running.,{connections},Sum,
memcached.cpu.usage,Accumulated user and system time.,s,Sum,STRING(system);STRING(user)
memcached.current_items,Number of items currently stored in the cache.,{items},Sum,
memcached.evictions,Cache item evictions.,{evictions},Sum,
memcached.network,Bytes transferred over the network.,by,Sum,STRING(received);STRING(sent)
memcached.operation_hit_ratio,"Hit ratio for operations, expressed as a percentage value between 0.0 and 100.0.",%,Gauge,STRING(increment);STRING(decrement);STRING(get)
memcached.operations,Operation counts.,{operations},Sum,STRING(hit);STRING(get);STRING(miss);STRING(decrement);STRING(hit);STRING(decrement);STRING(miss);STRING(increment);STRING(hit);STRING(increment);STRING(miss);STRING(get)
memcached.threads,Number of threads used by the memcached instance.,{threads},Sum,
