Name,Description,Unit,DataType,Attributes
mongodb.cache.operations,The number of cache operations of the instance.,{operations},Sum,STRING(miss);STRING(hit)
mongodb.global_lock.time,The time the global lock has been held.,ms,Sum,
mongodb.operation.count,The number of operations executed.,{operations},Sum,STRING(command);STRING(insert);STRING(query);STRING(update);STRING(delete);STRING(getmore);STRING(admin)
mongodb.collection.count,The number of collections.,{collections},Sum,STRING(admin)
mongodb.connection.count,The number of connections.,{connections},Sum,STRING(admin);STRING(active);STRING(admin);STRING(available);STRING(admin);STRING(current)
mongodb.data.size,The size of the collection. Data compression does not affect this value.,By,Sum,STRING(admin)
mongodb.index.count,The number of indexes.,{indexes},Sum,STRING(admin)
mongodb.index.size,"Sum of the space allocated to all indexes in the database, including free index space.",By,Sum,STRING(admin)
mongodb.memory.usage,The amount of memory used.,By,Sum,STRING(admin);STRING(resident);STRING(admin);STRING(virtual)
mongodb.object.count,The number of objects.,{objects},Sum,STRING(admin)
mongodb.storage.size,The total amount of storage allocated to this collection.,By,Sum,STRING(admin);STRING(config)
