Name,Description,Unit,DataType,Attributes
pdns_recursor_non_resolving_nameserver_entries,Number of entries in the non-resolving NS name cache,,Gauge,
pdns_recursor_noping_outqueries,Number of queries sent out without ENDS PING,,Sum,
pdns_recursor_over_capacity_drops,Number of questions dropped because over maximum concurrent query limit,,Sum,
pdns_recursor_query_pipe_full_drops,Number of questions dropped because the query distribution pipe was full,,Sum,
pdns_recursor_throttle_entries,Number of of entries in the throttle map,,Gauge,
pdns_recursor_dnssec_result_indeterminate,"Number of responses sent, packet-cache hits excluded, that were in the Indeterminate state",,Sum,
pdns_recursor_cpu_msec,Number of milliseconds spent in thread n,,Sum,STRING(0);STRING(1);STRING(2)
pdns_recursor_idle_tcpout_connections,Number of connections in the TCP idle outgoing connections pool,,Gauge,
pdns_recursor_ipv6_outqueries,Number of outgoing queries over IPv6,,Sum,
pdns_recursor_x_our_latency,"Shows the averaged time spent within PowerDNS, in microseconds, exponentially weighted over past 'latency-statistic-size' packets",,Gauge,
pdns_recursor_x_ourtime1_2,Counts responses where between 1 and 2 milliseconds was spent within the Recursor,,Sum,
pdns_recursor_aggressive_nsec_cache_entries,Number of entries in the aggressive NSEC cache,,Sum,
pdns_recursor_malloc_bytes,"Number of bytes allocated by the process (broken, always returns 0)",,Sum,
pdns_recursor_sys_msec,Number of CPU milliseconds spent in 'system' mode,,Sum,
pdns_recursor_taskqueue_size,Number of tasks currently in the taskqueue,,Gauge,
pdns_recursor_udp_noport_errors,From /proc/net/snmp NoPorts,,Sum,
pdns_recursor_aggressive_nsec_cache_nsec_hits,Number of NSEC-related hits from the aggressive NSEC cache,,Sum,
pdns_recursor_policy_result_custom,Number of packets that were sent a custom answer by the RPZ/filter engine,,Sum,
pdns_recursor_proxy_protocol_invalid,Number of invalid proxy-protocol headers received,,Sum,
pdns_recursor_record_cache_contended,Number of contented record cache lock acquisitions,,Sum,
pdns_recursor_x_ourtime_slow,Counts responses where more than 32 milliseconds was spent within the Recursor,,Sum,
pdns_recursor_almost_expired_pushed,Number of almost-expired tasks pushed,,Sum,
pdns_recursor_dnssec_result_bogus_no_rrsig,"Number of responses sent, packet-cache hits excluded, that were in the Bogus state because required RRSIG records were not present in an answer",,Sum,
pdns_recursor_dnssec_result_bogus_no_valid_dnskey,"Number of responses sent, packet-cache hits excluded, that were in the Bogus state because a valid DNSKEY could not be found",,Sum,
pdns_recursor_tcp_outqueries,Number of outgoing TCP queries since starting,,Sum,
pdns_recursor_aggressive_nsec_cache_nsec3_hits,Number of NSEC3-related hits from the aggressive NSEC cache,,Sum,
pdns_recursor_dnssec_result_bogus_invalid_denial,"Number of responses sent, packet-cache hits excluded, that were in the Bogus state because a valid denial of existence proof could not be found",,Sum,
pdns_recursor_empty_queries,Questions dropped because they had a QD count of 0,,Sum,
pdns_recursor_policy_result_nodata,Number of packets that were replied to with no data by the RPZ/filter engine,,Sum,
pdns_recursor_rebalanced_queries,Number of queries balanced to a different worker thread because the first selected one was above the target load configured with 'distribution-load-factor',,Sum,
pdns_recursor_cache_entries,Number of entries in the cache,,Gauge,
pdns_recursor_auth_zone_queries,Number of queries to locally hosted authoritative zones (`setting-auth-zones`) since starting,,Sum,
pdns_recursor_dns64_prefix_answers,Number of AAAA and PTR generated by a matching dns64-prefix,,Sum,
pdns_recursor_dnssec_result_bogus_signature_expired,"Number of responses sent, packet-cache hits excluded, that were in the Bogus state because the signature expired time in the RRSIG was in the past",,Sum,
pdns_recursor_packetcache_entries,Number of packet cache entries,,Gauge,
pdns_recursor_spoof_prevents,"Number of times PowerDNS considered itself spoofed, and dropped the data",,Sum,
pdns_recursor_answers_slow,Number of queries answered after 1 second,,Sum,
pdns_recursor_outgoing_timeouts,Number of timeouts on outgoing UDP queries since starting,,Sum,
pdns_recursor_policy_drops,Number of packets dropped because of (Lua) policy decision,,Sum,
pdns_recursor_real_memory_usage,Number of bytes real process memory usage,,Gauge,
pdns_recursor_record_cache_acquired,Number of record cache lock acquisitions,,Sum,
pdns_recursor_x_ourtime8_16,Counts responses where between 8 and 16 milliseconds was spent within the Recursor,,Sum,
pdns_recursor_dnssec_result_bogus_signature_not_yet_valid,"Number of responses sent, packet-cache hits excluded, that were in the Bogus state because the signature inception time in the RRSIG was not yet valid",,Sum,
pdns_recursor_answers100_1000,Number of queries answered within 1 second,,Sum,
pdns_recursor_cache_hits,"Number of of cache hits since starting, this does **not** include hits that got answered from the packet-cache",,Sum,
pdns_recursor_cpu_steal,"Stolen time, which is the time spent by the whole system in other operating systems when running in a virtualized environment, in units of USER_HZ",,Sum,
pdns_recursor_x_ourtime4_8,Counts responses where between 4 and 8 milliseconds was spent within the Recursor,,Sum,
pdns_recursor_almost_expired_exceptions,Number of almost-expired tasks that caused an exception,,Sum,
pdns_recursor_policy_result_drop,Number of packets that were dropped by the RPZ/filter engine,,Sum,
pdns_recursor_unreachables,Number of times nameservers were unreachable since starting,,Sum,
pdns_recursor_answers10_100,Number of queries answered within 100 milliseconds,,Sum,
pdns_recursor_dnssec_result_bogus_self_signed_ds,"Number of responses sent, packet-cache hits excluded, that were in the Bogus state because a DS record was signed by itself",,Sum,
pdns_recursor_uptime,Number of seconds process has been running,,Sum,
pdns_recursor_info,"Info from pdns_recursor, value is always 1",,Gauge,STRING(4.7.3)
pdns_recursor_answers0_1,Number of queries answered within 1 millisecond,,Sum,
pdns_recursor_auth4_answers100_1000,Number of queries answered by authoritatives over IPv4 within 1 second,,Sum,
pdns_recursor_auth6_answers10_100,Number of queries answered by authoritatives over IPv6 within 100 milliseconds,,Sum,
pdns_recursor_ecs_queries,Number of outgoing queries adorned with an EDNS Client Subnet option,,Sum,
pdns_recursor_edns_ping_mismatches,Number of servers that sent an invalid EDNS PING response,,Sum,
pdns_recursor_noerror_answers,Number of NOERROR answers since starting,,Sum,
pdns_recursor_packetcache_hits,Number of packet cache hits,,Sum,
pdns_recursor_qname_min_fallback_success,Number of successful queries due to fallback mechanism within 'qname-minimization' setting,,Sum,
pdns_recursor_auth4_answers1_10,Number of queries answered by authoritatives over IPv4 within 10 milliseconds,,Sum,
pdns_recursor_tcp_questions,Number of all incoming TCP queries since starting,,Sum,
pdns_recursor_questions,Counts all end-user initiated queries with the RD bit set,,Sum,
pdns_recursor_ipv6_questions,"Number of end-user initiated queries with the RD bit set, received over IPv6 UDP",,Sum,
pdns_recursor_outgoing4_timeouts,Number of timeouts on outgoing UDP IPv4 queries since starting,,Sum,
pdns_recursor_truncated_drops,Number of questions dropped because they were larger than 512 bytes,,Sum,
pdns_recursor_unexpected_packets,Number of answers from remote servers that were unexpected (might point to spoofing),,Sum,
pdns_recursor_user_msec,Number of CPU milliseconds spent in 'user' mode,,Sum,
pdns_recursor_auth6_answers_slow,Number of queries answered by authoritatives over IPv6 after 1 second,,Sum,
pdns_recursor_auth6_answers1_10,Number of queries answered by authoritatives over IPv6 within 10 milliseconds,,Sum,
pdns_recursor_fd_usage,Number of open file descriptors,,Gauge,
pdns_recursor_no_packet_error,Number of erroneous received packets,,Sum,
pdns_recursor_noedns_outqueries,Number of queries sent out without EDNS,,Sum,
pdns_recursor_nsspeeds_entries,Number of entries in the NS speeds map,,Gauge,
pdns_recursor_all_outqueries,Number of outgoing UDP queries since starting,,Sum,
pdns_recursor_servfail_answers,Number of SERVFAIL answers since starting,,Sum,
pdns_recursor_throttled_out,Number of throttled outgoing UDP queries since starting,,Sum,
