Name,Description,Unit,DataType,Attributes
ClickHouseProfileEvents_DistributedDelayedInserts,Number of times the INSERT of a block to a Distributed table was throttled due to high number of pending bytes.,,Sum,
ClickHouseProfileEvents_S3WriteBytes,"Write bytes (outgoing) in POST, DELETE, PUT and PATCH requests to S3 storage.",,Sum,
ClickHouseMetrics_DiskSpaceReservedForMerge,Disk space reserved for currently running background merges. It is slightly more than the total size of currently merging parts.,,Gauge,
ClickHouseAsyncMetrics_OSProcessesCreated,,,Gauge,
ClickHouseProfileEvents_DelayedInserts,Number of times the INSERT of a block to a MergeTree table was throttled due to high number of active data parts for partition.,,Sum,
ClickHouseAsyncMetrics_BlockQueueTime_ram10,,,Gauge,
ClickHouseAsyncMetrics_FilesystemMainPathUsedBytes,,,Gauge,
ClickHouseAsyncMetrics_BlockReadOps_nbd9,,,Gauge,
ClickHouseAsyncMetrics_OSIrqTimeCPU3,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_ram15,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteOps_nbd14,,,Gauge,
ClickHouseProfileEvents_CreatedHTTPConnections,Total amount of created HTTP connections (counter increase every time connection is created).,,Sum,
ClickHouseAsyncMetrics_BlockReadMerges_nbd8,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_nbd12,,,Gauge,
ClickHouseAsyncMetrics_OSIdleTimeCPU3,,,Gauge,
ClickHouseAsyncMetrics_OSSystemTimeCPU1,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteTime_ram14,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteTime_nbd9,,,Gauge,
ClickHouseAsyncMetrics_jemalloc_epoch,,,Gauge,
ClickHouseAsyncMetrics_OSIrqTimeCPU1,,,Gauge,
ClickHouseAsyncMetrics_CPUFrequencyMHz_5,,,Gauge,
ClickHouseProfileEvents_S3ReadRequestsRedirects,Number of redirects in GET and HEAD requests to S3 storage.,,Sum,
ClickHouseAsyncMetrics_BlockActiveTime_ram15,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_vda,,,Gauge,
ClickHouseAsyncMetrics_BlockQueueTime_nbd4,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardBytes_ram5,,,Gauge,
ClickHouseProfileEvents_StorageBufferPassedAllMinThresholds,,,Sum,
ClickHouseProfileEvents_DictCacheKeysRequestedFound,,,Sum,
ClickHouseAsyncMetrics_BlockReadOps_nbd2,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardOps_ram2,,,Gauge,
ClickHouseAsyncMetrics_BlockReadTime_ram2,,,Gauge,
ClickHouseProfileEvents_MergeTreeDataWriterCompressedBytes,Bytes written to filesystem for data INSERTed to MergeTree tables.,,Sum,
ClickHouseAsyncMetrics_OSSoftIrqTimeCPU3,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteMerges_ram15,,,Gauge,
ClickHouseProfileEvents_PerfInstructionTLBReferences,Instruction TLB references,,Sum,
ClickHouseProfileEvents_RemoteFSPrefetchedReads,Number of reads from prefecthed buffer,,Sum,
ClickHouseAsyncMetrics_BlockInFlightOps_ram0,,,Gauge,
ClickHouseAsyncMetrics_BlockInFlightOps_nbd4,,,Gauge,
ClickHouseAsyncMetrics_NumberOfDatabases,,,Gauge,
ClickHouseProfileEvents_MergedUncompressedBytes,Uncompressed bytes (for columns as they stored in memory) that was read for background merges. This is the number before merge.,,Sum,
ClickHouseAsyncMetrics_BlockDiscardOps_nbd13,,,Gauge,
ClickHouseAsyncMetrics_BlockReadOps_ram5,,,Gauge,
ClickHouseAsyncMetrics_BlockReadBytes_nbd11,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardBytes_ram6,,,Gauge,
ClickHouseProfileEvents_ThrottlerSleepMicroseconds,Total time a query was sleeping to conform the 'max_network_bandwidth' setting.,,Sum,
ClickHouseMetrics_RWLockActiveWriters,Number of threads holding write lock in a table RWLock.,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_ram9,,,Gauge,
ClickHouseProfileEvents_QueryProfilerRuns,Number of times QueryProfiler had been run.,,Sum,
ClickHouseAsyncMetrics_BlockReadBytes_nbd8,,,Gauge,
ClickHouseAsyncMetrics_BlockReadOps_vda,,,Gauge,
ClickHouseAsyncMetrics_OSIOWaitTimeCPU1,,,Gauge,
ClickHouseAsyncMetrics_LoadAverage5,,,Gauge,
ClickHouseMetrics_MaxDDLEntryID,Max processed DDL entry of DDLWorker.,,Gauge,
ClickHouseAsyncMetrics_BlockReadOps_nbd3,,,Gauge,
ClickHouseAsyncMetrics_BlockInFlightOps_ram4,,,Gauge,
ClickHouseAsyncMetrics_OSUserTimeCPU7,,,Gauge,
ClickHouseAsyncMetrics_OSStealTimeCPU7,,,Gauge,
ClickHouseAsyncMetrics_OSSystemTimeCPU6,,,Gauge,
ClickHouseAsyncMetrics_BlockActiveTime_ram4,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteMerges_nbd10,,,Gauge,
ClickHouseProfileEvents_MergeTreeDataProjectionWriterUncompressedBytes,Uncompressed bytes (for columns as they stored in memory) INSERTed to MergeTree tables projection.,,Sum,
ClickHouseAsyncMetrics_BlockDiscardMerges_nbd8,,,Gauge,
ClickHouseAsyncMetrics_BlockActiveTime_ram0,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteTime_ram15,,,Gauge,
ClickHouseAsyncMetrics_OSProcessesRunning,,,Gauge,
ClickHouseProfileEvents_OSCPUWaitMicroseconds,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view.",,Sum,
ClickHouseAsyncMetrics_BlockReadTime_nbd12,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_ram1,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteMerges_nbd11,,,Gauge,
ClickHouseProfileEvents_CompiledFunctionExecute,Number of times a compiled function was executed.,,Sum,
ClickHouseAsyncMetrics_BlockReadMerges_nbd2,,,Gauge,
ClickHouseAsyncMetrics_BlockReadBytes_nbd7,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteMerges_ram12,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardTime_ram14,,,Gauge,
ClickHouseAsyncMetrics_OSNiceTime,,,Gauge,
ClickHouseProfileEvents_CreatedReadBufferDirectIOFailed,,,Sum,
ClickHouseAsyncMetrics_BlockWriteBytes_nbd9,,,Gauge,
ClickHouseAsyncMetrics_BlockReadOps_ram10,,,Gauge,
ClickHouseAsyncMetrics_OSSystemTimeCPU7,,,Gauge,
ClickHouseAsyncMetrics_OSIrqTimeCPU5,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteTime_ram7,,,Gauge,
ClickHouseAsyncMetrics_BlockActiveTime_nbd15,,,Gauge,
ClickHouseProfileEvents_HardPageFaults,,,Sum,
ClickHouseProfileEvents_ThreadPoolReaderPageCacheMiss,Number of times the read inside ThreadPoolReader was not done from page cache and was hand off to thread pool.,,Sum,
ClickHouseAsyncMetrics_BlockReadBytes_ram14,,,Gauge,
ClickHouseAsyncMetrics_BlockReadMerges_ram12,,,Gauge,
ClickHouseAsyncMetrics_BlockReadBytes_ram13,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteOps_vda,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteBytes_nbd15,,,Gauge,
ClickHouseAsyncMetrics_BlockReadOps_nbd12,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardOps_nbd6,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardBytes_nbd2,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardBytes_ram11,,,Gauge,
ClickHouseAsyncMetrics_BlockReadTime_ram4,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardOps_nbd0,,,Gauge,
ClickHouseProfileEvents_RemoteFSReadMicroseconds,Time of reading from remote filesystem.,,Sum,
ClickHouseAsyncMetrics_BlockWriteTime_nbd1,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteTime_ram0,,,Gauge,
ClickHouseAsyncMetrics_BlockInFlightOps_ram6,,,Gauge,
ClickHouseProfileEvents_RemoteFSSeeksWithReset,Number of seeks which lead to a new connection,,Sum,
ClickHouseAsyncMetrics_OSGuestTimeCPU5,,,Gauge,
ClickHouseAsyncMetrics_OSStealTimeNormalized,,,Gauge,
ClickHouseProfileEvents_FailedSelectQuery,"Same as FailedQuery, but only for SELECT queries.",,Sum,
ClickHouseProfileEvents_MarkCacheHits,,,Sum,
