Name,Description,Unit,DataType,Attributes
nomad_client_host_cpu_idle,nomad_client_host_cpu_idle,,Gauge,STRING(cpu0);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu1);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu2);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu3);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu4);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu5);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu6);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu7);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_client_host_cpu_user,nomad_client_host_cpu_user,,Gauge,STRING(cpu0);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu1);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu2);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu3);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu4);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu5);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu6);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu7);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_client_host_disk_inodes_percent,nomad_client_host_disk_inodes_percent,,Gauge,STRING(dc1);STRING(/dev/vda1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_nomad_rpc_query,nomad_nomad_rpc_query,,Sum,
nomad_client_uptime,nomad_client_uptime,,Gauge,STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_nomad_broker_total_ready,nomad_nomad_broker_total_ready,,Gauge,
nomad_client_host_cpu_total,nomad_client_host_cpu_total,,Gauge,STRING(cpu0);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu1);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu2);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu3);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu4);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu5);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu6);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118);STRING(cpu7);STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_client_unallocated_disk,nomad_client_unallocated_disk,,Gauge,STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_nomad_blocked_evals_total_escaped,nomad_nomad_blocked_evals_total_escaped,,Gauge,
nomad_nomad_blocked_evals_total_quota_limit,nomad_nomad_blocked_evals_total_quota_limit,,Gauge,
nomad_raft_leader_dispatchLog,nomad_raft_leader_dispatchLog,,Summary,
nomad_client_allocated_memory,nomad_client_allocated_memory,,Gauge,STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_client_allocations_pending,nomad_client_allocations_pending,,Gauge,STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_nomad_plan_queue_depth,nomad_nomad_plan_queue_depth,,Gauge,
nomad_nomad_client_get_client_allocs,nomad_nomad_client_get_client_allocs,,Summary,
nomad_nomad_fsm_autopilot,nomad_nomad_fsm_autopilot,,Summary,
nomad_nomad_fsm_node_status_update,nomad_nomad_fsm_node_status_update,,Summary,
nomad_nomad_rpc_request,nomad_nomad_rpc_request,,Sum,
nomad_nomad_worker_dequeue_eval,nomad_nomad_worker_dequeue_eval,,Summary,
nomad_raft_commitTime,nomad_raft_commitTime,,Summary,
nomad_client_allocated_cpu,nomad_client_allocated_cpu,,Gauge,STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_nomad_leader_reconcileMember,nomad_nomad_leader_reconcileMember,,Summary,
nomad_runtime_total_gc_pause_ns,nomad_runtime_total_gc_pause_ns,,Gauge,
nomad_client_allocations_migrating,nomad_client_allocations_migrating,,Gauge,STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_client_host_memory_free,nomad_client_host_memory_free,,Gauge,STRING(dc1);STRING(087ba738-d429-9506-2ada-ef62ef6a8118)
nomad_nomad_eval_dequeue,nomad_nomad_eval_dequeue,,Summary,
nomad_nomad_broker_total_blocked,nomad_nomad_broker_total_blocked,,Gauge,
nomad_nomad_client_update_status,nomad_nomad_client_update_status,,Summary,
nomad_nomad_heartbeat_active,nomad_nomad_heartbeat_active,,Gauge,
nomad_raft_state_leader,nomad_raft_state_leader,,Sum,
