Name,Description ,Unit,DataType,Attributes
vault_seal_decrypt,vault_seal_decrypt,,Sum,
vault_core_replication_dr_primary,vault_core_replication_dr_primary,,Gauge,STRING(vault-cluster-1174ce43)
go_memstats_gc_cpu_fraction,The fraction of this program's available CPU time used by the GC since the program started.,,Gauge,
vault_core_replication_dr_secondary,vault_core_replication_dr_secondary,,Gauge,STRING(vault-cluster-1174ce43)
up,The scraping was successful,,Gauge,
scrape_series_added,The approximate number of new series in this scrape,,Gauge,
vault_token_creation,vault_token_creation,,Sum,STRING(token);STRING(vault-cluster-1174ce43);STRING(1m);STRING(auth/token/);STRING(root);STRING(service)
vault_consul_list,vault_consul_list,,Summary,
go_memstats_heap_idle_bytes,Number of heap bytes waiting to be used.,,Gauge,
vault_token_lookup,vault_token_lookup,,Summary,
go_threads,Number of OS threads created.,,Gauge,
go_memstats_heap_objects,Number of allocated objects.,,Gauge,
vault_expire_register_auth,vault_expire_register_auth,,Summary,
go_memstats_lookups_total,Total number of pointer lookups.,,Sum,
vault_route_update_sys_,vault_route_update_sys_,,Summary,
go_memstats_sys_bytes,Number of bytes obtained from system.,,Gauge,
vault_seal_encrypt_time,vault_seal_encrypt_time,,Summary,
vault_audit_log_response_failure,vault_audit_log_response_failure,,Sum,
go_memstats_alloc_bytes,Number of bytes allocated and still in use.,,Gauge,
go_info,Information about the Go environment.,,Gauge,STRING(go1.20.3)
vault_core_check_token,vault_core_check_token,,Summary,
go_memstats_heap_sys_bytes,Number of heap bytes obtained from system.,,Gauge,
process_open_fds,Number of open file descriptors.,,Gauge,
vault_core_mount_table_num_entries,vault_core_mount_table_num_entries,,Gauge,STRING(vault-cluster-1174ce43);STRING(false);STRING(auth);STRING(vault-cluster-1174ce43);STRING(false);STRING(logical);STRING(vault-cluster-1174ce43);STRING(true);STRING(auth);STRING(vault-cluster-1174ce43);STRING(true);STRING(logical)
go_memstats_heap_released_bytes,Number of heap bytes released to OS.,,Gauge,
vault_seal_shamir_decrypt_time,vault_seal_shamir_decrypt_time,,Summary,
vault_barrier_list,vault_barrier_list,,Summary,
vault_core_unseal,vault_core_unseal,,Summary,
vault_consul_put,vault_consul_put,,Summary,
vault_core_in_flight_requests,vault_core_in_flight_requests,,Gauge,STRING(vault-cluster-1174ce43)
vault_cache_write,vault_cache_write,,Sum,
vault_core_replication_write_undo_logs,vault_core_replication_write_undo_logs,,Gauge,STRING(vault-cluster-1174ce43)
vault_core_unsealed,vault_core_unsealed,,Gauge,STRING(vault-cluster-1174ce43)
go_memstats_stack_inuse_bytes,Number of bytes in use by the stack allocator.,,Gauge,
vault_cache_miss,vault_cache_miss,,Sum,
go_memstats_mcache_inuse_bytes,Number of bytes in use by mcache structures.,,Gauge,
vault_core_replication_performance_primary,vault_core_replication_performance_primary,,Gauge,STRING(vault-cluster-1174ce43)
vault_core_replication_performance_secondary,vault_core_replication_performance_secondary,,Gauge,STRING(vault-cluster-1174ce43)
vault_token_create,vault_token_create,,Summary,
vault_seal_shamir_encrypt_time,vault_seal_shamir_encrypt_time,,Summary,
vault_audit_log_response,vault_audit_log_response,,Summary,
vault_runtime_num_goroutines,vault_runtime_num_goroutines,,Gauge,
process_start_time_seconds,Start time of the process since unix epoch in seconds.,,Gauge,
vault_consul_get,vault_consul_get,,Summary,
go_memstats_heap_inuse_bytes,Number of heap bytes that are in use.,,Gauge,
go_memstats_mallocs_total,Total number of mallocs.,,Sum,
go_memstats_stack_sys_bytes,Number of bytes obtained from system for stack allocator.,,Gauge,
vault_seal_shamir_encrypt,vault_seal_shamir_encrypt,,Sum,
vault_core_handle_request,vault_core_handle_request,,Summary,
vault_core_mount_table_size,vault_core_mount_table_size,,Gauge,STRING(vault-cluster-1174ce43);STRING(false);STRING(auth);STRING(vault-cluster-1174ce43);STRING(false);STRING(logical);STRING(vault-cluster-1174ce43);STRING(true);STRING(auth);STRING(vault-cluster-1174ce43);STRING(true);STRING(logical)
vault_core_post_unseal,vault_core_post_unseal,,Summary,
vault_barrier_estimated_encryptions,vault_barrier_estimated_encryptions,,Sum,STRING(1)
vault_token_create_root,vault_token_create_root,,Sum,
process_cpu_seconds_total,Total user and system CPU time spent in seconds.,,Sum,
vault_core_locked_users,vault_core_locked_users,,Gauge,
vault_route_update_auth_token_,vault_route_update_auth_token_,,Summary,
vault_audit_log_request,vault_audit_log_request,,Summary,
scrape_samples_scraped,The number of samples the target exposed,,Gauge,
vault_token_revoke_tree,vault_token_revoke_tree,,Summary,
go_memstats_frees_total,Total number of frees.,,Sum,
go_gc_duration_seconds,A summary of the pause duration of garbage collection cycles.,,Summary,
vault_barrier_delete,vault_barrier_delete,,Summary,
scrape_duration_seconds,Duration of the scrape,seconds,Gauge,
go_memstats_mcache_sys_bytes,Number of bytes used for mcache structures obtained from system.,,Gauge,
vault_consul_delete,vault_consul_delete,,Summary,
vault_runtime_free_count,vault_runtime_free_count,,Gauge,
go_memstats_buck_hash_sys_bytes,Number of bytes used by the profiling bucket hash table.,,Gauge,
vault_token_store,vault_token_store,,Summary,
vault_core_performance_standby,vault_core_performance_standby,,Gauge,STRING(vault-cluster-1174ce43)
vault_expire_revoke_by_token,vault_expire_revoke_by_token,,Summary,
vault_core_pre_seal,vault_core_pre_seal,,Summary,
vault_barrier_get,vault_barrier_get,,Summary,
go_memstats_gc_sys_bytes,Number of bytes used for garbage collection system metadata.,,Gauge,
vault_seal_shamir_decrypt,vault_seal_shamir_decrypt,,Sum,
vault_core_active,vault_core_active,,Gauge,STRING(vault-cluster-1174ce43)
vault_expire_num_leases,vault_expire_num_leases,,Gauge,
process_virtual_memory_max_bytes,Maximum amount of virtual memory available in bytes.,,Gauge,
vault_runtime_gc_pause_ns,vault_runtime_gc_pause_ns,,Summary,
vault_expire_num_irrevocable_leases,vault_expire_num_irrevocable_leases,,Gauge,
go_memstats_heap_alloc_bytes,Number of heap bytes allocated and still in use.,,Gauge,
process_max_fds,Maximum number of open file descriptors.,,Gauge,
go_memstats_alloc_bytes_total,"Total number of bytes allocated, even if freed.",,Sum,
go_memstats_mspan_sys_bytes,Number of bytes used for mspan structures obtained from system.,,Gauge,
process_resident_memory_bytes,Resident memory size in bytes.,,Gauge,
go_memstats_other_sys_bytes,Number of bytes used for other system allocations.,,Gauge,
scrape_samples_post_metric_relabeling,The number of samples remaining after metric relabeling was applied,,Gauge,
vault_runtime_total_gc_pause_ns,vault_runtime_total_gc_pause_ns,,Gauge,
process_virtual_memory_bytes,Virtual memory size in bytes.,,Gauge,
vault_policy_get_policy,vault_policy_get_policy,,Summary,
go_memstats_mspan_inuse_bytes,Number of bytes in use by mspan structures.,,Gauge,
vault_cache_hit,vault_cache_hit,,Sum,
vault_core_fetch_acl_and_token,vault_core_fetch_acl_and_token,,Summary,
vault_runtime_malloc_count,vault_runtime_malloc_count,,Gauge,
go_memstats_next_gc_bytes,Number of heap bytes when next garbage collection will take place.,,Gauge,
vault_expire_revoke_common,vault_expire_revoke_common,,Summary,
vault_runtime_heap_objects,vault_runtime_heap_objects,,Gauge,
go_memstats_last_gc_time_seconds,Number of seconds since 1970 of last garbage collection.,,Gauge,
vault_expire_revoke,vault_expire_revoke,,Summary,
vault_barrier_put,vault_barrier_put,,Summary,
vault_seal_decrypt_time,vault_seal_decrypt_time,,Summary,
vault_runtime_total_gc_runs,vault_runtime_total_gc_runs,,Gauge,
vault_token_createAccessor,vault_token_createAccessor,,Summary,
vault_runtime_sys_bytes,vault_runtime_sys_bytes,,Gauge,
vault_audit_log_request_failure,vault_audit_log_request_failure,,Sum,
vault_runtime_alloc_bytes,vault_runtime_alloc_bytes,,Gauge,
vault_seal_encrypt,vault_seal_encrypt,,Sum,
go_goroutines,Number of goroutines that currently exist.,,Gauge,
