Name,Description ,Unit,DataType,Attributes
squid_Near_Hits_30,Service Time Percentiles 5min,,Sum,
squid_Near_Hits_55,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_10,Service Time Percentiles 5min,,Sum,
squid_up,Was the last query of squid successful?,,Gauge,STRING(squid)
squid_Near_Hits_50,Service Time Percentiles 5min,,Sum,
squid_HTTP_Requests_All_80,Service Time Percentiles 5min,,Sum,
squid_Near_Hits_65,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_95,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_25,Service Time Percentiles 5min,,Sum,
go_memstats_other_sys_bytes,Number of bytes used for other system allocations.,,Gauge,
squid_Cache_Misses_15,Service Time Percentiles 5min,,Sum,
go_memstats_alloc_bytes,Number of bytes allocated and still in use.,,Gauge,
squid_server_all_requests_total,The total number of server all requests,,Sum,
go_memstats_lookups_total,Total number of pointer lookups.,,Sum,
squid_server_http_errors_total,The total number of server http errors,,Sum,
process_virtual_memory_max_bytes,Maximum amount of virtual memory available in bytes.,,Gauge,
go_memstats_heap_sys_bytes,Number of heap bytes obtained from system.,,Gauge,
squid_Cache_Hits_70,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_5,Service Time Percentiles 5min,,Sum,
squid_Near_Hits_35,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_80,Service Time Percentiles 5min,,Sum,
squid_server_other_kbytes_out_kbytes_total,The total number of server other kbytes transferred,,Sum,
squid_swap_outs_total,The number of objects saved to disk,,Sum,
go_memstats_mallocs_total,Total number of mallocs.,,Sum,
process_start_time_seconds,Start time of the process since unix epoch in seconds.,,Gauge,
squid_HTTP_Requests_All_20,Service Time Percentiles 5min,,Sum,
go_gc_duration_seconds,A summary of the pause duration of garbage collection cycles.,,Summary,
squid_Cache_Hits_30,Service Time Percentiles 5min,,Sum,
squid_server_http_kbytes_out_kbytes_total,The total number of server http kbytes transferred,,Sum,
squid_HTTP_Requests_All_40,Service Time Percentiles 5min,,Sum,
squid_server_other_requests_total,The total number of server other requests,,Sum,
up,The scraping was successful,,Gauge,
squid_Near_Hits_20,Service Time Percentiles 5min,,Sum,
go_memstats_heap_released_bytes,Number of heap bytes released to OS.,,Gauge,
go_memstats_stack_inuse_bytes,Number of bytes in use by the stack allocator.,,Gauge,
squid_Cache_Misses_10,Service Time Percentiles 5min,,Sum,
scrape_series_added,The approximate number of new series in this scrape,,Gauge,
squid_Cache_Hits_35,Service Time Percentiles 5min,,Sum,
go_memstats_mspan_inuse_bytes,Number of bytes in use by mspan structures.,,Gauge,
go_memstats_heap_idle_bytes,Number of heap bytes waiting to be used.,,Gauge,
go_memstats_sys_bytes,Number of bytes obtained from system.,,Gauge,
squid_DNS_Lookups_25,Service Time Percentiles 5min,,Sum,
squid_server_ftp_kbytes_in_kbytes_total,The total number of server ftp kbytes received,,Sum,
squid_Near_Hits_10,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_70,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_40,Service Time Percentiles 5min,,Sum,
promhttp_metric_handler_requests_in_flight,Current number of scrapes being served.,,Gauge,
squid_Near_Hits_95,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_50,Service Time Percentiles 5min,,Sum,
squid_swap_ins_total,The number of objects read from disk,,Sum,
squid_HTTP_Requests_All_25,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_45,Service Time Percentiles 5min,,Sum,
squid_swap_files_cleaned_total,The number of orphaned cache files removed by the periodic cleanup procedure,,Sum,
squid_DNS_Lookups_70,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_65,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_90,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_10,Service Time Percentiles 5min,,Sum,
squid_Near_Hits_80,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_5,Service Time Percentiles 5min,,Sum,
squid_server_http_kbytes_in_kbytes_total,The total number of server http kbytes received,,Sum,
go_memstats_buck_hash_sys_bytes,Number of bytes used by the profiling bucket hash table.,,Gauge,
squid_Cache_Misses_40,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_85,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_90,Service Time Percentiles 5min,,Sum,
squid_server_other_kbytes_in_kbytes_total,The total number of server other kbytes received,,Sum,
squid_Cache_Misses_55,Service Time Percentiles 5min,,Sum,
squid_Near_Hits_70,Service Time Percentiles 5min,,Sum,
squid_Cache_Misses_80,Service Time Percentiles 5min,,Sum,
squid_server_ftp_errors_total,The total number of server ftp errors,,Sum,
squid_Cache_Hits_75,Service Time Percentiles 5min,,Sum,
squid_Near_Hits_5,Service Time Percentiles 5min,,Sum,
squid_HTTP_Requests_All_35,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_45,Service Time Percentiles 5min,,Sum,
squid_Near_Hits_40,Service Time Percentiles 5min,,Sum,
go_memstats_gc_cpu_fraction,The fraction of this program's available CPU time used by the GC since the program started.,,Gauge,
go_memstats_heap_alloc_bytes,Number of heap bytes allocated and still in use.,,Gauge,
scrape_duration_seconds,Duration of the scrape,seconds,Gauge,
squid_DNS_Lookups_20,Service Time Percentiles 5min,,Sum,
go_memstats_mcache_sys_bytes,Number of bytes used for mcache structures obtained from system.,,Gauge,
squid_client_http_hit_kbytes_out_bytes_total,The total number of client kbytes cache hit,,Sum,
squid_Cache_Misses_25,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_95,Service Time Percentiles 5min,,Sum,
squid_HTTP_Requests_All_55,Service Time Percentiles 5min,,Sum,
squid_HTTP_Requests_All_85,Service Time Percentiles 5min,,Sum,
process_resident_memory_bytes,Resident memory size in bytes.,,Gauge,
squid_Near_Hits_15,Service Time Percentiles 5min,,Sum,
squid_DNS_Lookups_30,Service Time Percentiles 5min,,Sum,
go_memstats_frees_total,Total number of frees.,,Sum,
squid_server_ftp_kbytes_out_kbytes_total,The total number of server ftp kbytes transferred,,Sum,
squid_Cache_Hits_5,Service Time Percentiles 5min,,Sum,
squid_client_http_errors_total,The total number of client http errors,,Sum,
squid_HTTP_Requests_All_70,Service Time Percentiles 5min,,Sum,
squid_Cache_Hits_20,Service Time Percentiles 5min,,Sum,
go_memstats_gc_sys_bytes,Number of bytes used for garbage collection system metadata.,,Gauge,
squid_Near_Hits_25,Service Time Percentiles 5min,,Sum,
