Name,Description,Unit,DataType,Attributes
varnish_main_shm_flushes,SHM flushes due to overflow,,Sum,
varnish_main_ws_session_overflow,workspace_session overflows,,Sum,
varnish_main_n_purges,Number of purge operations executed,,Sum,
varnish_main_sc_pipe_overflow,Session Err PIPE_OVERFLOW,,Sum,
varnish_main_sc_rx_timeout,Session Err RX_TIMEOUT,,Sum,
varnish_mempool_timeout,Timed out from pool,,Sum,STRING(busyobj);STRING(req0);STRING(req1);STRING(sess0);STRING(sess1)
varnish_main_sc_tx_eof,Session OK  TX_EOF,,Sum,
varnish_version,Varnish version information,,Gauge,STRING(7);STRING(1);STRING(2);STRING(b399e1fcc7467b8c255630fa3b3fd6311e59e4df);STRING(7.1.2)
varnish_backend_pipe_out,Piped bytes to backend,,Sum,STRING(default);STRING(unknown)
varnish_backend_unhealthy,Fetches not attempted due to backend being unhealthy,,Sum,STRING(default);STRING(unknown)
varnish_lck_dbg_try_fail,Contended trylock operations,,Sum,STRING(ban);STRING(busyobj);STRING(cli);STRING(conn_pool);STRING(director);STRING(exp);STRING(hcb);STRING(lru);STRING(mempool);STRING(objhdr);STRING(perpool);STRING(pipestat);STRING(probe);STRING(sess);STRING(sma);STRING(vbe);STRING(vcapace);STRING(vcl);STRING(vxid);STRING(waiter);STRING(wq);STRING(wstat)
varnish_main_bans_lurker_obj_killed_cutoff,Objects killed by bans for cutoff (lurker),,Sum,
varnish_mgt_child_died,Child process died (signal),,Sum,
varnish_backend_beresp_bodybytes,Response body bytes,,Sum,STRING(default);STRING(unknown)
varnish_main_bans_obj_killed,Objects killed by bans (lookup),,Sum,
varnish_main_pools,Number of thread pools,,Gauge,
varnish_main_req_dropped,Requests dropped,,Sum,
varnish_main_sc_vcl_failure,Session Err VCL_FAILURE,,Sum,
varnish_mempool_randry,Pool ran dry,,Sum,STRING(busyobj);STRING(req0);STRING(req1);STRING(sess0);STRING(sess1)
varnish_sma_c_fail,Allocator failures,,Sum,STRING(s0);STRING(transient)
varnish_main_beresp_uncacheable,Uncacheable backend responses,,Sum,
varnish_main_cache_miss,Cache misses,,Sum,
varnish_main_esi_errors,ESI parse errors (unlock),,Sum,
varnish_main_n_gunzip,Gunzip operations,,Sum,
varnish_backend_bereq_hdrbytes,Request header bytes,,Sum,STRING(default);STRING(unknown)
varnish_main_n_expired,Number of expired objects,,Sum,
varnish_main_sc_rx_bad,Session Err RX_BAD,,Sum,
varnish_sma_g_space,Bytes available,,Gauge,STRING(s0);STRING(transient)
varnish_mempool_toosmall,Too small to recycle,,Sum,STRING(busyobj);STRING(req0);STRING(req1);STRING(sess0);STRING(sess1)
varnish_main_client_req_400,"Client requests received, subject to 400 errors",,Sum,
varnish_main_losthdr,HTTP header overflows,,Sum,
varnish_main_n_vampireobject,unresurrected objects,,Gauge,
varnish_main_threads_failed,Thread creation failed,,Sum,
varnish_main_n_vcl,Number of loaded VCLs in total,,Gauge,
varnish_mgt_child_stop,Child process unexpected exit,,Sum,
varnish_backend_beresp_hdrbytes,Response header bytes,,Sum,STRING(default);STRING(unknown)
varnish_backend_fail_other,Connections failed for other reason,,Sum,STRING(default);STRING(unknown)
varnish_main_bans_persisted_fragmentation,Extra bytes in persisted ban lists due to fragmentation,,Gauge,
varnish_main_n_pipe,Number of ongoing pipe sessions,,Gauge,
varnish_main_bans_deleted,Bans deleted,,Sum,
varnish_main_bans_req,Number of bans using req.*,,Gauge,
varnish_main_client_resp_500,Delivery failed due to insufficient workspace.,,Sum,
varnish_main_n_objecthead,objecthead structs made,,Gauge,
varnish_mempool_sz_wanted,Size requested,,Gauge,STRING(busyobj);STRING(req0);STRING(req1);STRING(sess0);STRING(sess1)
varnish_mgt_uptime,Management process uptime,,Sum,
varnish_main_bans_lurker_tested,Bans tested against objects (lurker),,Sum,
varnish_main_bans_tests_tested,Ban tests tested against objects (lookup),,Sum,
varnish_main_esi_req,ESI subrequests,,Sum,
varnish_main_threads_destroyed,Threads destroyed,,Sum,
varnish_main_hcb_lock,HCB Lookups with lock,,Sum,
varnish_main_s_pipe_out,Piped bytes to client,,Sum,
varnish_main_summs,stat summ operations,,Sum,
varnish_main_threads_limited,Threads hit max,,Sum,
varnish_backend_fail,Connections failed,,Sum,STRING(default);STRING(unknown)
varnish_main_backend_unhealthy,Backend conn. not attempted,,Sum,
varnish_main_busy_killed,Number of requests killed after sleep on busy objhdr,,Sum,
varnish_main_exp_received,Number of objects received by expiry thread,,Sum,
varnish_mgt_child_start,Child process started,,Sum,
varnish_main_s_resp_hdrbytes,Response header bytes,,Sum,
varnish_main_sc_rx_close_idle,Session Err RX_CLOSE_IDLE,,Sum,
varnish_main_sc_tx_error,Session Err TX_ERROR,,Sum,
varnish_main_shm_records,SHM records,,Sum,
varnish_main_esi_warnings,ESI parse warnings (unlock),,Sum,
varnish_main_fetch,Number of fetches,,Sum,STRING(1xx);STRING(204);STRING(304);STRING(bad);STRING(chunked);STRING(eof);STRING(failed);STRING(head);STRING(length);STRING(no_thread);STRING(none)
varnish_main_n_lru_limited,Reached nuke_limit,,Sum,
varnish_main_s_pipe,Total pipe sessions seen,,Sum,
varnish_main_threads_created,Threads created,,Sum,
varnish_main_cache_hit,Cache hits,,Sum,
varnish_main_pipe_limited,Pipes hit pipe_sess_max,,Sum,
varnish_main_sc_req_http20,Session Err REQ_HTTP20,,Sum,
varnish_main_sc_resp_close,Session OK  RESP_CLOSE,,Sum,
varnish_backend_bereq_bodybytes,Request body bytes,,Sum,STRING(default);STRING(unknown)
